id,name,position,dateOfBirth,nationality
1795,Alisson,Goalkeeper,1992-10-02,Brazil
8197,Adrián,Goalkeeper,1987-01-03,Spain
102046,Caoimhin Kelleher,Goalkeeper,1998-11-23,Ireland
7383,Kostas Tsimikas,Defence,1996-05-12,Greece
7720,Sepp van den Berg,Defence,2001-12-20,Netherlands
7861,James Milner,Defence,1986-01-04,England
7862,Joe Gomez,Defence,1997-05-23,England
7865,Joël Matip,Defence,1991-08-08,Cameroon
7867,Trent Alexander-Arnold,Defence,1998-10-07,England
7868,Andrew Robertson,Defence,1994-03-11,Scotland
7869,Virgil van Dijk,Defence,1991-07-08,Netherlands
9542,Ibrahima Konaté,Defence,1999-05-25,France
124778,Calvin Ramsay,Defence,2003-07-31,Scotland
125215,Nathaniel Phillips,Defence,1997-03-21,England
356,Thiago Alcântara,Midfield,1991-04-11,Spain
3320,Jordan Henderson,Midfield,1990-06-17,England
3323,Alex Oxlade-Chamberlain,Midfield,1993-08-15,England
7873,Curtis Jones,Midfield,2001-01-30,England
8749,Fabinho,Midfield,1993-10-23,Brazil
9547,Naby Keïta,Midfield,1995-02-10,Guinea
3233,Roberto Firmino,Offence,1991-10-02,Brazil
3754,Mohamed Salah,Offence,1992-06-15,Egypt
4092,Diogo Jota,Offence,1996-12-04,Portugal
22396,Luis Díaz,Offence,1997-01-13,Colombia
28612,Darwin Núñez,Offence,1999-06-24,Uruguay
124824,Harvey Elliott,Offence,2003-04-04,England
